26044,86,1098576168,13
4,17,1098576560,454
4,17,1098576567,454
1255,40,1098576851,184
0,96,1098576914,8
86,26044,1098576986,40
4,107,1098577027,51
14370,40,1098577036,734
0,93,1098577084,43
4,107,1098577090,1
4,1741,1098577151,106
4,1477,1098577307,78
86,26044,1098577390,21
4,0,1098577411,187
86,14602,1098577624,4
86,96,1098577680,39
4,1455,1098577698,7
4,99,1098577752,43
86,26093,1098577767,51
17,4,1098577808,8
4,17,1098577815,782
4,17,1098577822,775
1,107,1098578019,39
1,673,1098578093,1
30,11322,1098578114,29
14252,40,1098578162,32
86,75,1098578560,3
4,99,1098578620,592
4,99,1098579235,24
11494,30,1098579758,12
86,25988,1098580589,94
60,20319,1098581620,21
11322,30,1098581643,21
20319,60,1098582032,424
71,22960,1098582414,55
25993,86,1098582779,34
40,107,1098583332,35
14602,86,1098583393,48
129,0,1098583946,20
190,0,1098584074,60
14252,40,1098585157,93
190,0,1098585783,109
124,0,1098585939,551
71,22960,1098586868,358
59,19452,1098587031,36
11395,30,1098588541,177
23297,72,1098589043,11
19,4821,1098589366,2
35,13221,1098589405,247
59,15963,1098589937,20
56,19262,1098590184,24
56,19214,1098590252,255
23294,72,1098590488,34
56,19261,1098591762,114
42,15536,1098591897,25
30,11496,1098591903,462
86,96,1098592244,14
41,12978,1098592391,62
11395,30,1098593297,62
66,21684,1098593340,425
15963,59,1098593555,60
69,10957,1098593731,181
66,15946,1098593791,53
21801,66,1098593904,144
11,3860,1098593933,69
11,3861,1098594039,10
11,3862,1098594071,152
41,41,1098594163,63
56,19261,1098594184,4
38,13588,1098594202,40
78,62,1098594338,64
19432,59,1098594393,131
21801,66,1098594458,39
56,19263,1098594827,52
42,15511,1098594896,4
56,19263,1098594898,33
35,12981,1098594918,33
15199,41,1098595072,564
55,18633,1098595474,143
467,56,1098595871,428
69,10957,1098596005,9
10957,69,1098596025,8
11,3860,1098596064,62
3861,11,1098596177,295
718,55,1098596337,109
