78,44
85,135
35,35
23,69
33,33
38,57
70,72
70,72
17,128
114,81
114,81
114,81
114,81
84,91
84,91
67,13
67,48
67,9
67,13
67,48
67,9
72,20
57,76
57,38
57,38
91,44
67,57
44,91
44,91
33,38
33,38
33,38
33,38
102,78
73,69
73,51
48,9
48,44
48,91
13,13
13,48
13,75
13,27
13,67
13,57
13,13
13,48
13,75
13,27
13,67
13,57
13,13
13,48
13,75
13,27
13,67
13,57
13,13
13,48
13,75
13,27
13,67
13,57
16,109
68,66
68,122
68,122
48,9
115,87
73,23
73,69
38,11
123,123
123,123
111,102
11,7
11,12
11,38
11,7
11,12
11,38
69,73
6,27
6,27
6,84
6,84
18,137
18,20
18,32
18,18
18,18
18,137
18,20
18,32
18,18
18,18
28,20
33,57
112,105
23,73
23,73
75,76
75,76
23,69
23,69
67,9
141,3
19,141
19,55
19,141
19,55
19,141
19,55
19,141
19,55
6,27
6,27
114,94
114,94
76,57
33,44
115,87
76,57
73,69
73,69
100,44
100,111
100,104
100,102
100,100
100,91
100,44
100,111
100,104
100,102
100,100
100,91
18,32
18,18
18,18
20,141
18,18
20,72
20,72
114,128
114,47
114,101
114,96
114,96
20,19
73,69
73,51
73,23
23,73
23,69
23,51
73,23
23,69
105,145
23,69
23,69
33,33
91,44
91,44
33,44
44,33
33,44
67,57
141,20
141,20
84,107
84,107
67,57
66,68
66,3
38,11
33,57
33,38
33,38
33,57
33,38
33,38
33,57
33,38
33,38
33,75
33,75
29,32
23,73
23,73
38,73
38,73
67,50
125,61
61,125
61,125
61,125
96,126
96,126
96,126
44,91
44,91
40,42
73,23
73,69
73,1
73,38
44,91
40,42
23,69
23,69
69,23
127,51
127,74
127,54
127,51
127,74
127,54
67,6
67,6
23,69
23,69
57,57
84,21
36,123
84,91
84,91
73,23
73,23
73,23
73,23
24,88
70,141
70,20
70,19
70,72
70,55
70,70
70,70
70,141
70,20
70,19
70,72
70,55
70,70
70,70
70,141
70,20
70,19
70,72
70,55
70,70
70,70
8,128
58,125
58,103
72,20
72,20
42,42
42,42
6,67
6,67
23,73
23,73
6,48
6,48
23,69
38,73
48,44
48,91
48,44
48,91
48,44
48,91
41,17
41,40
48,27
48,6
48,6
48,6
23,69
73,38
73,23
73,23
73,38
17,71
17,56
17,71
17,56
19,20
19,141
19,20
19,141
19,20
19,141
19,20
19,141
24,88
100,128
100,105
19,20
19,141
19,20
